X,Y,Z,Roll ,Pitch,Yaw
0.75,1,0.003554301,11.52,-1.57,-0.44
0.25,2,0.005671327,11.44,-1.53,-0.45
1,1,-0.003117391,11.56,-1.52,-0.46
1.5,1.25,0.001780863,11.77,-1.49,-0.47
1,0.75,-0.002472306,11.55,-1.48,-0.47
1.5,1.5,-0.000577836,11.74,-1.48,-0.47
1.25,1.25,0.001379342,11.7,-1.48,-0.46
-117.75,-11.75,-0.065902771,5.98,-1.71,2.8
119.5,13,0.048611318,-18.16,-1.88,-0.25
2.5,2.25,-7.58E-05,11.69,-1.46,-0.48
2.75,1.75,-0.001395361,11.7,-1.42,-0.49
65.75,17.5,0,0,0,0
1,1.5,0.001578778,24.51,-0.76,-0.94
1.25,2.25,0.003475347,24.48,-0.75,-0.95
1.25,3,0.003399053,24.57,-0.76,-0.95
2,2.5,0.003293784,24.64,-3.88,2.18
1.5,2.25,0.003465579,24.75,-0.75,-0.97
-92,-95.25,-0.198610385,19.27,-1.29,-0.7
94,98,0.070953524,24.88,-0.31,-0.97
1.75,2.5,0.003655456,24.82,-3.86,2.15
-2.75,-2.25,-0.007161409,24.85,-3.91,2.17
1.5,1.75,0.003540232,24.87,-3.87,2.16
2,1.75,0.004645371,25.01,-0.73,-0.98
1.25,2.5,0.002668819,24.99,-3.86,2.15
2.25,3.5,0.00385833,25.15,-0.74,-0.99
1,1.5,0.001866513,25.2,-0.73,-1
1.75,2.75,0.005099094,25.18,-0.72,-1
1.75,3.75,0.005564548,25.37,-3.86,2.13
-104.5,-115.75,-0.276832979,19.27,-1.35,-0.7
106.75,119.25,0.078859613,25.34,-3.32,2.11
1.75,4,0.007478939,25.46,-3.85,2.11
2,4,0.005886215,25.65,-3.84,2.11
2,4.25,0.003452751,25.66,-0.7,-1.04
1.5,3.25,0.004847292,25.66,-0.7,-1.04
2,4.5,0.008697171,25.79,-3.82,2.09
0.75,1.5,0.002470015,25.69,-3.81,2.08
1.25,3,0.002722215,25.81,-0.7,-1.06
1.25,2,0.005759941,25.83,-3.81,2.07
0.75,1.5,0.001354556,25.96,-0.7,-1.06
-120,-147.25,-0.43967588,19.31,-1.41,-0.7
0,0,0,19.3,-0.85,-0.7
-257.5,127.25,0.097866027,2.29,-1.57,2.8
205.5,69.25,0.046631917,-16.28,-4.8,2.78
4.25,4.25,-0.00120242,13.32,-1.39,-0.57
0,-0.25,-0.001841546,12.94,-4.44,2.56
-0.25,-0.25,0.00105427,13.29,-1.38,-0.57
-0.25,0,-0.000999851,13.06,-4.47,2.56
-0.75,0,0.000579393,13.5,-4.49,2.56
0.25,0,-0.001445776,13.23,-4.47,2.55
-0.25,-0.25,-0.004143722,13.44,-1.36,-0.57
-0.5,-0.25,0.001400394,13.67,-1.32,-0.58
-1,0,0,13.48,-1.32,-0.58
-151.5,-80,0,0,0,0
-0.25,0,-0.001136133,25.77,-0.7,-1.06
-0.25,0,0.000110225,25.62,-3.82,2.07
0,0,0,25.64,-3.83,2.07
0,0,0,25.64,-3.83,2.07
-0.25,0.25,-0.002616047,25.7,-3.83,2.08
-172.75,45.25,0.121669085,10.92,-1.65,-0.58
0,0,0,13.8,-1.27,-0.58
-0.25,0.5,0.000461776,13.84,-4.38,2.55
